year,respondent_id,weight,gender,age,education,income_quintile,employment_status,area_type,has_account,has_bank_account,has_mobile_money,has_digital_account,did_save,did_borrow,owns_mobile_phone,uses_internet,receives_pension,receives_remittances,any_digital_payment
2017,153480377,1.97474705629003,Female,50.0,Primary or less,2,1,,0,0,0,,1,1,0.0,,4,5.0,
2017,154252357,0.290594591450477,Male,38.0,Secondary,5,1,,1,1,0,,0,1,1.0,,4,1.0,
2017,118847870,1.11884132813753,Male,19.0,Secondary,5,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,159500973,0.878705082285889,Male,19.0,Secondary,5,1,,1,1,0,,1,0,1.0,,4,2.0,
2017,169225445,0.290594591450477,Female,34.0,Primary or less,3,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,156269430,0.699438858778089,Male,20.0,Primary or less,3,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,120674868,0.568904260399652,Female,23.0,Secondary,4,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,159397909,0.507286880762063,Male,35.0,Secondary,5,1,,1,1,0,,1,0,1.0,,4,1.0,
2017,120341802,0.636618172145435,Female,32.0,Primary or less,3,0,,1,1,0,,1,1,1.0,,4,1.0,
2017,171894841,0.352744471299293,Female,37.0,Secondary,1,1,,0,0,0,,0,0,0.0,,4,2.0,
2017,171963420,0.732294363553432,Female,43.0,Primary or less,1,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,129569388,1.33396758630301,Male,36.0,Primary or less,2,1,,0,0,0,,1,0,1.0,,4,3.0,
2017,171644538,0.73552959999162,Male,18.0,Primary or less,1,1,,0,0,0,,1,0,0.0,,4,5.0,
2017,155850023,1.68692945646925,Male,83.0,Primary or less,2,0,,0,0,0,,0,1,0.0,,4,3.0,
2017,126219651,1.31397502398675,Male,23.0,Secondary,3,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,147956105,0.39100494664711,Female,55.0,Primary or less,1,1,,0,0,0,,0,1,0.0,,4,5.0,
